B_step,B_exx,B_eyy,B_exy,B_rix,B_riy,B_rjx,B_rjy,B_rr_absx,B_rr_absy,B_rr_abs,B_rr_minx,B_rr_miny,B_rr_min,B_rr_fixx,B_rr_fixy,B_rr_fix,B_v1x,B_v1y,B_v2x,B_v2y,B_Lx,B_Ly,B_Dxy,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.500000,0.000000,12.500000,12.500000,-4.000000,2.500000,4.716991,-4.000000,2.500000,4.716991,10.000000,0.000000,4.000000,10.000000,10.000000,10.000000,4.000000,
 1.0000 , 0.0000 , 0.0100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.6250, 0.0000 , 12.6250, 12.6250, -4.0000, 2.6250 , 4.7844 , -4.0000, 2.6250 , 4.7844 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 2.0000 , 0.0000 , 0.0200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.7500, 0.0000 , 12.7500, 12.7500, -4.0000, 2.7500 , 4.8541 , -4.0000, 2.7500 , 4.8541 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 3.0000 , 0.0000 , 0.0300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.8750, 0.0000 , 12.8750, 12.8750, -4.0000, 2.8750 , 4.9260 , -4.0000, 2.8750 , 4.9260 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 4.0000 , 0.0000 , 0.0400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.0000, 0.0000 , 13.0000, 13.0000, -4.0000, 3.0000 , 5.0000 , -4.0000, 3.0000 , 5.0000 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 5.0000 , 0.0000 , 0.0500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.1250, 0.0000 , 13.1250, 13.1250, -4.0000, 3.1250 , 5.0760 , -4.0000, 3.1250 , 5.0760 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 6.0000 , 0.0000 , 0.0600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.2500, 0.0000 , 13.2500, 13.2500, -4.0000, 3.2500 , 5.1539 , -4.0000, 3.2500 , 5.1539 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 7.0000 , 0.0000 , 0.0700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.3750, 0.0000 , 13.3750, 13.3750, -4.0000, 3.3750 , 5.2336 , -4.0000, 3.3750 , 5.2336 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 8.0000 , 0.0000 , 0.0800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.5000, 0.0000 , 13.5000, 13.5000, -4.0000, 3.5000 , 5.3151 , -4.0000, 3.5000 , 5.3151 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 9.0000 , 0.0000 , 0.0900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.6250, 0.0000 , 13.6250, 13.6250, -4.0000, 3.6250 , 5.3982 , -4.0000, 3.6250 , 5.3982 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 10.0000, 0.0000 , 0.1000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.7500, 0.0000 , 13.7500, 13.7500, -4.0000, 3.7500 , 5.4829 , -4.0000, 3.7500 , 5.4829 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 11.0000, 0.0000 , 0.1100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.8750, 0.0000 , 13.8750, 13.8750, -4.0000, 3.8750 , 5.5692 , -4.0000, 3.8750 , 5.5692 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
