C_step,C_exx,C_eyy,C_exy,C_rix,C_riy,C_rjx,C_rjy,C_rr_absx,C_rr_absy,C_rr_abs,C_rr_minx,C_rr_miny,C_rr_min,C_rr_fixx,C_rr_fixy,C_rr_fix,C_v1x,C_v1y,C_v2x,C_v2y,C_Lx,C_Ly,C_Dxy,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.500000,0.000000,12.500000,12.500000,0.000000,2.500000,2.500000,0.000000,2.500000,2.500000,10.000000,0.000000,0.000000,10.000000,10.000000,10.000000,0.000000,
 1.0000 , 0.0000 , 0.0100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 2.4000 , 2.4000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 10.1000, 10.0000, 10.1000, 0.0000 ,
 2.0000 , 0.0000 , 0.0200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 2.3000 , 2.3000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 10.2000, 10.0000, 10.2000, 0.0000 ,
 3.0000 , 0.0000 , 0.0300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 2.2000 , 2.2000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 10.3000, 10.0000, 10.3000, 0.0000 ,
 4.0000 , 0.0000 , 0.0400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 2.1000 , 2.1000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 10.4000, 10.0000, 10.4000, 0.0000 ,
 5.0000 , 0.0000 , 0.0500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 2.0000 , 2.0000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 10.5000, 10.0000, 10.5000, 0.0000 ,
 6.0000 , 0.0000 , 0.0600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 1.9000 , 1.9000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 10.6000, 10.0000, 10.6000, 0.0000 ,
 7.0000 , 0.0000 , 0.0700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 1.8000 , 1.8000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 10.7000, 10.0000, 10.7000, 0.0000 ,
 8.0000 , 0.0000 , 0.0800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 1.7000 , 1.7000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 10.8000, 10.0000, 10.8000, 0.0000 ,
 9.0000 , 0.0000 , 0.0900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , 1.6000 , 1.6000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 10.9000, 10.0000, 10.9000, 0.0000 ,
