D_step,D_exx,D_eyy,D_exy,D_rix,D_riy,D_rjx,D_rjy,D_rr_absx,D_rr_absy,D_rr_abs,D_rr_minx,D_rr_miny,D_rr_min,D_rr_fixx,D_rr_fixy,D_rr_fix,D_v1x,D_v1y,D_v2x,D_v2y,D_Lx,D_Ly,D_Dxy,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.500000,0.000000,12.500000,12.500000,0.000000,2.500000,2.500000,0.000000,2.500000,2.500000,10.000000,0.000000,0.000000,10.000000,10.000000,10.000000,0.000000,
 1.0000 , 0.0000 , 0.0100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.6250, 0.0000 , 12.6250, 12.6250, 0.0000 , 2.5250 , 2.5250 , 0.0000 , 2.5250 , 2.5250 , 10.0000, 0.0000 , 0.0000 , 10.1000, 10.0000, 10.1000, 0.0000 ,
 2.0000 , 0.0000 , 0.0200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.7500, 0.0000 , 12.7500, 12.7500, 0.0000 , 2.5500 , 2.5500 , 0.0000 , 2.5500 , 2.5500 , 10.0000, 0.0000 , 0.0000 , 10.2000, 10.0000, 10.2000, 0.0000 ,
 3.0000 , 0.0000 , 0.0300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.8750, 0.0000 , 12.8750, 12.8750, 0.0000 , 2.5750 , 2.5750 , 0.0000 , 2.5750 , 2.5750 , 10.0000, 0.0000 , 0.0000 , 10.3000, 10.0000, 10.3000, 0.0000 ,
 4.0000 , 0.0000 , 0.0400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.0000, 0.0000 , 13.0000, 13.0000, 0.0000 , 2.6000 , 2.6000 , 0.0000 , 2.6000 , 2.6000 , 10.0000, 0.0000 , 0.0000 , 10.4000, 10.0000, 10.4000, 0.0000 ,
 5.0000 , 0.0000 , 0.0500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.1250, 0.0000 , 13.1250, 13.1250, 0.0000 , 2.6250 , 2.6250 , 0.0000 , 2.6250 , 2.6250 , 10.0000, 0.0000 , 0.0000 , 10.5000, 10.0000, 10.5000, 0.0000 ,
 6.0000 , 0.0000 , 0.0600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.2500, 0.0000 , 13.2500, 13.2500, 0.0000 , 2.6500 , 2.6500 , 0.0000 , 2.6500 , 2.6500 , 10.0000, 0.0000 , 0.0000 , 10.6000, 10.0000, 10.6000, 0.0000 ,
 7.0000 , 0.0000 , 0.0700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.3750, 0.0000 , 13.3750, 13.3750, 0.0000 , 2.6750 , 2.6750 , 0.0000 , 2.6750 , 2.6750 , 10.0000, 0.0000 , 0.0000 , 10.7000, 10.0000, 10.7000, 0.0000 ,
 8.0000 , 0.0000 , 0.0800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.5000, 0.0000 , 13.5000, 13.5000, 0.0000 , 2.7000 , 2.7000 , 0.0000 , 2.7000 , 2.7000 , 10.0000, 0.0000 , 0.0000 , 10.8000, 10.0000, 10.8000, 0.0000 ,
 9.0000 , 0.0000 , 0.0900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.6250, 0.0000 , 13.6250, 13.6250, 0.0000 , 2.7250 , 2.7250 , 0.0000 , 2.7250 , 2.7250 , 10.0000, 0.0000 , 0.0000 , 10.9000, 10.0000, 10.9000, 0.0000 ,
 10.0000, 0.0000 , 0.1000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.7500, 0.0000 , 13.7500, 13.7500, 0.0000 , 2.7500 , 2.7500 , 0.0000 , 2.7500 , 2.7500 , 10.0000, 0.0000 , 0.0000 , 11.0000, 10.0000, 11.0000, 0.0000 ,
 11.0000, 0.0000 , 0.1100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 13.8750, 0.0000 , 13.8750, 13.8750, 0.0000 , 2.7750 , 2.7750 , 0.0000 , 2.7750 , 2.7750 , 10.0000, 0.0000 , 0.0000 , 11.1000, 10.0000, 11.1000, 0.0000 ,
