E_step,E_exx,E_eyy,E_exy,E_rix,E_riy,E_rjx,E_rjy,E_rr_absx,E_rr_absy,E_rr_abs,E_rr_minx,E_rr_miny,E_rr_min,E_rr_fixx,E_rr_fixy,E_rr_fix,E_v1x,E_v1y,E_v2x,E_v2y,E_Lx,E_Ly,E_Dxy,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.500000,0.000000,12.500000,12.500000,0.000000,2.500000,2.500000,0.000000,2.500000,2.500000,10.000000,0.000000,0.000000,10.000000,10.000000,10.000000,0.000000,
 1.0000 , 0.0000 , 0.0000 , 0.0100 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -0.1000, 2.5000 , 2.5020 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.1000 , 10.0000, 10.0000, 10.0000, 0.1000 ,
 2.0000 , 0.0000 , 0.0000 , 0.0200 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -0.2000, 2.5000 , 2.5080 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.2000 , 10.0000, 10.0000, 10.0000, 0.2000 ,
 3.0000 , 0.0000 , 0.0000 , 0.0300 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -0.3000, 2.5000 , 2.5179 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.3000 , 10.0000, 10.0000, 10.0000, 0.3000 ,
 4.0000 , 0.0000 , 0.0000 , 0.0400 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -0.4000, 2.5000 , 2.5318 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.4000 , 10.0000, 10.0000, 10.0000, 0.4000 ,
 5.0000 , 0.0000 , 0.0000 , 0.0500 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -0.5000, 2.5000 , 2.5495 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.5000 , 10.0000, 10.0000, 10.0000, 0.5000 ,
 6.0000 , 0.0000 , 0.0000 , 0.0600 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -0.6000, 2.5000 , 2.5710 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.6000 , 10.0000, 10.0000, 10.0000, 0.6000 ,
 7.0000 , 0.0000 , 0.0000 , 0.0700 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -0.7000, 2.5000 , 2.5962 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.7000 , 10.0000, 10.0000, 10.0000, 0.7000 ,
 8.0000 , 0.0000 , 0.0000 , 0.0800 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -0.8000, 2.5000 , 2.6249 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.8000 , 10.0000, 10.0000, 10.0000, 0.8000 ,
 9.0000 , 0.0000 , 0.0000 , 0.0900 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -0.9000, 2.5000 , 2.6571 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.9000 , 10.0000, 10.0000, 10.0000, 0.9000 ,
 10.0000, 0.0000 , 0.0000 , 0.1000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -1.0000, 2.5000 , 2.6926 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 1.0000 , 10.0000, 10.0000, 10.0000, 1.0000 ,
 11.0000, 0.0000 , 0.0000 , 0.1100 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -1.1000, 2.5000 , 2.7313 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 1.1000 , 10.0000, 10.0000, 10.0000, 1.1000 ,
 12.0000, 0.0000 , 0.0000 , 0.1200 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -1.2000, 2.5000 , 2.7731 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 1.2000 , 10.0000, 10.0000, 10.0000, 1.2000 ,
 13.0000, 0.0000 , 0.0000 , 0.1300 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -1.3000, 2.5000 , 2.8178 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 1.3000 , 10.0000, 10.0000, 10.0000, 1.3000 ,
 14.0000, 0.0000 , 0.0000 , 0.1400 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -1.4000, 2.5000 , 2.8653 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 1.4000 , 10.0000, 10.0000, 10.0000, 1.4000 ,
