F_step,F_exx,F_eyy,F_exy,F_rix,F_riy,F_rjx,F_rjy,F_rr_absx,F_rr_absy,F_rr_abs,F_rr_minx,F_rr_miny,F_rr_min,F_rr_fixx,F_rr_fixy,F_rr_fix,F_v1x,F_v1y,F_v2x,F_v2y,F_Lx,F_Ly,F_Dxy,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.500000,0.000000,12.500000,12.500000,0.000000,2.500000,2.500000,0.000000,2.500000,2.500000,10.000000,0.000000,0.000000,10.000000,10.000000,10.000000,0.000000,
 1.0000 , 0.0000 , 0.0000 , 0.0100 , 0.0000 , 0.0000 , 0.1250 , 12.5000, 0.1250 , 12.5000, 12.5006, 0.0250 , 2.5000 , 2.5001 , 0.0250 , 2.5000 , 2.5001 , 10.0000, 0.0000 , 0.1000 , 10.0000, 10.0000, 10.0000, 0.1000 ,
 2.0000 , 0.0000 , 0.0000 , 0.0200 , 0.0000 , 0.0000 , 0.2500 , 12.5000, 0.2500 , 12.5000, 12.5025, 0.0500 , 2.5000 , 2.5005 , 0.0500 , 2.5000 , 2.5005 , 10.0000, 0.0000 , 0.2000 , 10.0000, 10.0000, 10.0000, 0.2000 ,
 3.0000 , 0.0000 , 0.0000 , 0.0300 , 0.0000 , 0.0000 , 0.3750 , 12.5000, 0.3750 , 12.5000, 12.5056, 0.0750 , 2.5000 , 2.5011 , 0.0750 , 2.5000 , 2.5011 , 10.0000, 0.0000 , 0.3000 , 10.0000, 10.0000, 10.0000, 0.3000 ,
 4.0000 , 0.0000 , 0.0000 , 0.0400 , 0.0000 , 0.0000 , 0.5000 , 12.5000, 0.5000 , 12.5000, 12.5100, 0.1000 , 2.5000 , 2.5020 , 0.1000 , 2.5000 , 2.5020 , 10.0000, 0.0000 , 0.4000 , 10.0000, 10.0000, 10.0000, 0.4000 ,
 5.0000 , 0.0000 , 0.0000 , 0.0500 , 0.0000 , 0.0000 , 0.6250 , 12.5000, 0.6250 , 12.5000, 12.5156, 0.1250 , 2.5000 , 2.5031 , 0.1250 , 2.5000 , 2.5031 , 10.0000, 0.0000 , 0.5000 , 10.0000, 10.0000, 10.0000, 0.5000 ,
 6.0000 , 0.0000 , 0.0000 , 0.0600 , 0.0000 , 0.0000 , 0.7500 , 12.5000, 0.7500 , 12.5000, 12.5225, 0.1500 , 2.5000 , 2.5045 , 0.1500 , 2.5000 , 2.5045 , 10.0000, 0.0000 , 0.6000 , 10.0000, 10.0000, 10.0000, 0.6000 ,
 7.0000 , 0.0000 , 0.0000 , 0.0700 , 0.0000 , 0.0000 , 0.8750 , 12.5000, 0.8750 , 12.5000, 12.5306, 0.1750 , 2.5000 , 2.5061 , 0.1750 , 2.5000 , 2.5061 , 10.0000, 0.0000 , 0.7000 , 10.0000, 10.0000, 10.0000, 0.7000 ,
 8.0000 , 0.0000 , 0.0000 , 0.0800 , 0.0000 , 0.0000 , 1.0000 , 12.5000, 1.0000 , 12.5000, 12.5399, 0.2000 , 2.5000 , 2.5080 , 0.2000 , 2.5000 , 2.5080 , 10.0000, 0.0000 , 0.8000 , 10.0000, 10.0000, 10.0000, 0.8000 ,
 9.0000 , 0.0000 , 0.0000 , 0.0900 , 0.0000 , 0.0000 , 1.1250 , 12.5000, 1.1250 , 12.5000, 12.5505, 0.2250 , 2.5000 , 2.5101 , 0.2250 , 2.5000 , 2.5101 , 10.0000, 0.0000 , 0.9000 , 10.0000, 10.0000, 10.0000, 0.9000 ,
